channel_name,row_kind,programme_name,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,channel_tier,channel_format,genre_fit,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,household_decision_maker_fit,high_value_client_fit,news_affairs_fit,sport_fit,entertainment_fit,appointment_viewing_fit,co_viewing_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,programme_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
SABC 1,channel,,,,,"24/7 national free-to-air television; Zulu, Xhosa, Sotho, Tswana and English",national,national,,unknown,"Youthful South Africa; wide demographic spanning rural, peri-urban and urban audiences for flagship dramas.",Youthful / broad mass market,Balanced,LSM 4-8,,,,,,,,,,,,,,,,,,,,,,,,,,youthful South Africa; storytelling; drama; mass reach; national,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,https://www.nmtdeploy.co.za/sabc/home/sabc1/aboutus,,,tv_sabc_1|channel,tv_sabc_1,tv_channel
SABC 1,slot,Amalanga Awafani,Mon-Fri 18:30,,,"24/7 national free-to-air television; Zulu, Xhosa, Sotho, Tswana and English",national,national,,unknown,"Youthful South Africa; wide demographic spanning rural, peri-urban and urban audiences for flagship dramas.",Youthful / broad mass market,Balanced,LSM 4-8,,,,,,,,,,,,,,,,,,,,,,,,,,youthful South Africa; storytelling; drama; mass reach; national,,,,https://www.nmtdeploy.co.za/sabc/home/sabc1/aboutus,,,tv_sabc_1|slot|Amalanga Awafani|Mon-Fri 18:30|,tv_sabc_1,tv_slot
SABC 1,slot,Skeem Saam S13,Mon-Fri 19:30,,,"24/7 national free-to-air television; Zulu, Xhosa, Sotho, Tswana and English",national,national,,unknown,"Youthful South Africa; wide demographic spanning rural, peri-urban and urban audiences for flagship dramas.",Youthful / broad mass market,Balanced,LSM 4-8,,,,,,,,,,,,,,,,,,,,,,,,,,youthful South Africa; storytelling; drama; mass reach; national,,,,https://www.nmtdeploy.co.za/sabc/home/sabc1/aboutus,,,tv_sabc_1|slot|Skeem Saam S13|Mon-Fri 19:30|,tv_sabc_1,tv_slot
SABC 1,slot,Generation The Legacy,Mon-Fri 20:00,,,"24/7 national free-to-air television; Zulu, Xhosa, Sotho, Tswana and English",national,national,,unknown,"Youthful South Africa; wide demographic spanning rural, peri-urban and urban audiences for flagship dramas.",Youthful / broad mass market,Balanced,LSM 4-8,,,,,,,,,,,,,,,,,,,,,,,,,,youthful South Africa; storytelling; drama; mass reach; national,,,,https://www.nmtdeploy.co.za/sabc/home/sabc1/aboutus,,,tv_sabc_1|slot|Generation The Legacy|Mon-Fri 20:00|,tv_sabc_1,tv_slot
SABC 1,slot,Uzalo S11,Mon-Fri 20:30,,,"24/7 national free-to-air television; Zulu, Xhosa, Sotho, Tswana and English",national,national,,unknown,"Youthful South Africa; wide demographic spanning rural, peri-urban and urban audiences for flagship dramas.",Youthful / broad mass market,Balanced,LSM 4-8,,,,,,,,,,,,,,,,,,,,,,,,,,youthful South Africa; storytelling; drama; mass reach; national,,,,https://www.nmtdeploy.co.za/sabc/home/sabc1/aboutus,,,tv_sabc_1|slot|Uzalo S11|Mon-Fri 20:30|,tv_sabc_1,tv_slot
SABC 1,slot,Good Men,Sunday 20:00,,,"24/7 national free-to-air television; Zulu, Xhosa, Sotho, Tswana and English",national,national,,unknown,"Youthful South Africa; wide demographic spanning rural, peri-urban and urban audiences for flagship dramas.",Youthful / broad mass market,Balanced,LSM 4-8,,,,,,,,,,,,,,,,,,,,,,,,,,youthful South Africa; storytelling; drama; mass reach; national,,,,https://www.nmtdeploy.co.za/sabc/home/sabc1/aboutus,,,tv_sabc_1|slot|Good Men|Sunday 20:00|,tv_sabc_1,tv_slot
