"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Liverpool TV","","00:00-23:59","unknown","30","Liverpool TV","2886.00","2886.00","","","","","","","","true","true","tv_slot:28959cc1-b462-113d-a651-11b32c406919","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Top 14 Rugby","","00:00-23:59","unknown","30","Top 14 Rugby","2886.00","2886.00","","","","","","","","true","true","tv_slot:7a0e2580-9934-940b-5df5-446a84cb5a7f","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Bundesliga Preview","","00:00-23:59","unknown","30","Bundesliga Preview","2886.00","2886.00","","","","","","","","true","true","tv_slot:7a6c43b7-8e05-ab33-cc4d-493fff66ca89","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","EFC Live Fight","","00:00-23:59","unknown","30","EFC Live Fight","2886.00","2886.00","","","","","","","","true","true","tv_slot:e5a2951f-b595-7bc2-6176-a47181e420d8","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Soccerzone","","00:00-23:59","unknown","30","Soccerzone","2886.00","2886.00","","","","","","","","true","true","tv_slot:3882bc92-7ff2-6877-a988-eeea9f9c465d","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Redbull Ultimate Rush","","00:00-23:59","unknown","30","Redbull Ultimate Rush","2886.00","2886.00","","","","","","","","true","true","tv_slot:bbcb3c78-2607-1762-6fb5-7d8489a7cde6","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Boxing World Weekly","","00:00-23:59","unknown","30","Boxing World Weekly","2886.00","2886.00","","","","","","","","true","true","tv_slot:e9ac022c-1eeb-1ca6-b573-227a0ebe1684","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Final Analysis","","00:00-23:59","unknown","30","Final Analysis","2886.00","2886.00","","","","","","","","true","true","tv_slot:b7b642f9-fca3-314b-ef39-0bf2326e380b","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Racing Today","","00:00-23:59","unknown","30","Racing Today","2886.00","2886.00","","","","","","","","true","true","tv_slot:5985e3b6-e0b6-ba95-b252-5df0939cf475","tv_slot"
"tv","slot","national","","","national","national","national","SABC Sport","SABC Sport - 00:00-23:59","Fut Afrique","","00:00-23:59","unknown","30","Fut Afrique","2886.00","2886.00","","","","","","","","true","true","tv_slot:2c018ab7-deb2-c868-39a6-6eab98a11a5e","tv_slot"
