"channel","inventory_row_type","province","city","suburb","area","outlet_name","inventory_name","package_name","slot_label","media_subtype","rate_type","pricing_basis","internal_cost_zar","reference_sell_value_zar","estimated_gross_margin_zar","estimated_gross_margin_percent","raw_rate_zar","cost_zar","investment_zar","cost_per_month_zar","value_zar","inventory_key","source_type"
"ooh","site","Gauteng","Johannesburg","CBD","CBD","BlackSpace","CBD, Johannesburg","","","Static Wall Billboard | Outdoor","Static Wall Billboard | Outdoor","ooh_cost_vs_raw_rate","45000","60000","15000","33.33","60000","45000",,,,"ooh_site:6127c5e8-7021-4128-b3cc-1fb0fc25b113","ooh"
"ooh","site","Gauteng","Johannesburg","DiepKloof, Soweto","DiepKloof, Soweto","BlackSpace","Soweto,, Johannesburg","","","Static Billboard | Outdoor","Static Billboard | Outdoor","ooh_cost_vs_raw_rate","40000","45000","5000","12.5","45000","40000",,,,"ooh_site:188a715f-4cc4-480e-8ab0-4e0b4d141d83","ooh"
"ooh","site","Gauteng","Johannesburg","Fleufhof, Soweto","Fleufhof, Soweto","BlackSpace","Soweto,, Johannesburg","","","Static Parking Wrap | Outdoor","Static Parking Wrap | Outdoor","ooh_cost_vs_raw_rate","45000","55000","10000","22.22","55000","45000",,,,"ooh_site:6d3352fb-95fa-45fe-b124-4ab9fe275b56","ooh"
"ooh","site","Gauteng","Johannesburg","Gandhi Square, Marshalltown","Gandhi Square, Marshalltown","BlackSpace","Gandhi Square,, Johannesburg","","","Static Wall Wrap | Outdoor","Static Wall Wrap | Outdoor","ooh_cost_vs_raw_rate","120000","160000","40000","33.33","160000","120000",,,,"ooh_site:4c5d9a8a-1325-499e-a666-93759f72d925","ooh"
"ooh","site","Gauteng","Johannesburg","Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park","BlackSpace","Hyde Park,, Johannesburg","","","Static Tower Wrap | Outdoor","Static Tower Wrap | Outdoor","ooh_cost_vs_raw_rate","80000","100000","20000","25","100000","80000",,,,"ooh_site:46eef22c-ccdf-4e5a-824c-5a9a591e289d","ooh"
"ooh","site","Gauteng","Johannesburg","Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park","BlackSpace","Hyde Park,, Johannesburg","","","Digital Screen | Indoor","Digital Screen | Indoor","ooh_cost_vs_raw_rate","10000","15000","5000","50","15000","10000",,,,"ooh_site:d71eecd6-c21f-4cdb-b6ea-e5adeafc2e1c","ooh"
"radio","package","gauteng","Johannesburg","","Johannesburg","YFM 99.2","YFM 99.2 - 100 for 100 - Generics + Digital (4 Weeks)","100 for 100 - Generics + Digital (4 Weeks)","","generic","package","broadcast_investment_vs_value","118252","601400","483148","408.57",,"118252","118252",,"601400","radio_package:886d555d-f37b-1c67-fdb6-b0eed18c3da2","radio_package"
"radio","package","gauteng","Johannesburg","","Johannesburg","YFM 99.2","YFM 99.2 - 50 for 50 Package - Generics (4 Weeks)","50 for 50 Package - Generics (4 Weeks)","","generic","package","broadcast_investment_vs_value","51374","302200","250826","488.24",,"51374","51374",,"302200","radio_package:de4a431c-6ac2-4bb8-778d-f17d459e5129","radio_package"
"radio","package","gauteng","Johannesburg","","Johannesburg","YFM 99.2","YFM 99.2 - Live Reads + Digital (1 Week)","Live Reads + Digital (1 Week)","","generic","package","broadcast_investment_vs_value","22382","120875","98493","440.05",,"22382","22382",,"120875","radio_package:7403d400-0c27-b370-49d2-72b80cbc2054","radio_package"
"ooh","site","Gauteng","Johannesburg","Rosebank Mall, Rosebank","Rosebank Mall, Rosebank","BlackSpace","Rosebank,, Johannesburg","","","Digital Screen | Indoor","Digital Screen | Indoor","ooh_cost_vs_raw_rate","15000","20000","5000","33.33","20000","15000",,,,"ooh_site:a39ec915-1024-4362-9d98-fc1c4274a4c8","ooh"
"ooh","site","Gauteng","Johannesburg","Rosebank Mall, Rosebank","Rosebank Mall, Rosebank","BlackSpace","Rosebank,, Johannesburg","","","Static Corner Wrap | Outdoor","Static Corner Wrap | Outdoor","ooh_cost_vs_raw_rate","25000","30000","5000","20","30000","25000",,,,"ooh_site:d4081eaa-077d-43c4-b366-94790f6089f5","ooh"
"ooh","site","Gauteng","Johannesburg","The Glen Mall, Oakdene","The Glen Mall, Oakdene","BlackSpace","The Glen Mall,, Johannesburg","","","Digital Screen | Indoor","Digital Screen | Indoor","ooh_cost_vs_raw_rate","15000","20000","5000","33.33","20000","15000",,,,"ooh_site:3f021366-e6e7-44a1-8a59-1b6b299919b0","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","BlackSpace","Bloed Street Mall,, Pretoria","","","Static Wall Banner | Indoor","Static Wall Banner | Indoor","ooh_cost_vs_raw_rate","4500","8500","4000","88.89","8500","4500",,,,"ooh_site:8b9f25f4-1763-4374-9342-a66fb9e430fc","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","BlackSpace","Bloed Street Mall,, Pretoria","","","Static Wall Banner | Indoor","Static Wall Banner | Indoor","ooh_cost_vs_raw_rate","5500","8500","3000","54.55","8500","5500",,,,"ooh_site:1ccaf38e-af5d-4db2-99c0-ba77b6f44af4","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","BlackSpace","Bloed Street Mall,, Pretoria","","","Static Lift Door Wrap | Indoor","Static Lift Door Wrap | Indoor","ooh_cost_vs_raw_rate","4000","8000","4000","100","8000","4000",,,,"ooh_site:d5633d89-f86a-4fd7-b70f-7f2743fc10e9","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","BlackSpace","Bloed Street Mall,, Pretoria","","","Static Taxi Rank Entrance Banner | Indoor","Static Taxi Rank Entrance Banner | Indoor","ooh_cost_vs_raw_rate","10000","15000","5000","50","15000","10000",,,,"ooh_site:dfdf72bc-d3d3-4370-b61b-f61f37b258b1","ooh"
"ooh","site","Gauteng","Pretoria","Soshanguve","Soshanguve","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Digital Screen | Outdoor","Digital Screen | Outdoor","ooh_cost_vs_raw_rate","10000","15000","5000","50","15000","10000",,,,"ooh_site:f0dab127-8a7a-46f6-aa0d-4e16c68a84c0","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Hanging Banner | Indoor","Static Hanging Banner | Indoor","ooh_cost_vs_raw_rate","5000","8500","3500","70","8500","5000",,,,"ooh_site:67a8cf73-9ecd-4b6e-8ad7-72f3c92c43f9","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Pillar Wrap | Indoor","Static Pillar Wrap | Indoor","ooh_cost_vs_raw_rate","4500","8500","4000","88.89","8500","4500",,,,"ooh_site:0557c6aa-0e1f-43fe-a7d6-531d90058c84","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Parking Gantry | Outdoor","Static Parking Gantry | Outdoor","ooh_cost_vs_raw_rate","5000","7500","2500","50","7500","5000",,,,"ooh_site:61199278-3691-4a4d-b95c-365ecc996ddb","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Parking Wall | Outdoor","Static Parking Wall | Outdoor","ooh_cost_vs_raw_rate","6000","8500","2500","41.67","8500","6000",,,,"ooh_site:6631a78c-08b5-4714-84fe-650917207103","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Lift Panels | Indoor","Static Lift Panels | Indoor","ooh_cost_vs_raw_rate","8500","12500","4000","47.06","12500","8500",,,,"ooh_site:c931fdfb-43b8-484b-ad55-e034295783b3","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Parking Wall | Outdoor","Static Parking Wall | Outdoor","ooh_cost_vs_raw_rate","5000","7500","2500","50","7500","5000",,,,"ooh_site:cf63588f-d16d-45e8-b755-c10dcc3e952f","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Glass Balustrades | Indoor","Static Glass Balustrades | Indoor","ooh_cost_vs_raw_rate","5500","8500","3000","54.55","8500","5500",,,,"ooh_site:fa8e9d00-4648-4d75-b6e6-763dfe46bfec","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Wall Banner | Indoor","Static Wall Banner | Indoor","ooh_cost_vs_raw_rate","4500","8500","4000","88.89","8500","4500",,,,"ooh_site:3b09a6e8-da1d-494e-9039-981073cd2f48","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Overhead Banner | Indoor","Static Overhead Banner | Indoor","ooh_cost_vs_raw_rate","4500","8500","4000","88.89","8500","4500",,,,"ooh_site:031253fb-4fe7-44b3-9a49-bd27e8e2a52d","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Elevator Wrap | Indoor","Static Elevator Wrap | Indoor","ooh_cost_vs_raw_rate","18500","22500","4000","21.62","22500","18500",,,,"ooh_site:53bad7b8-8250-4231-ba0a-85b68de8a445","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Lift Door Wrap | Indoor","Static Lift Door Wrap | Indoor","ooh_cost_vs_raw_rate","5500","8500","3000","54.55","8500","5500",,,,"ooh_site:97deb959-b85e-4b03-b9f4-31917e43d6bd","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Escalator Wrap | Indoor","Static Escalator Wrap | Indoor","ooh_cost_vs_raw_rate","8500","10500","2000","23.53","10500","8500",,,,"ooh_site:fb85aca2-0052-40de-80ce-e4eb8aaf2fbf","ooh"
"ooh","site","Gauteng","Pretoria","Sunnyside","Sunnyside","BlackSpace","Sunnypark Shopping, Centre, Pretoria","","","Static Entrance Wall | Outdoor","Static Entrance Wall | Outdoor","ooh_cost_vs_raw_rate","42000","48000","6000","14.29","48000","42000",,,,"ooh_site:03f15c2e-11d1-4c5b-8c67-f6bbdfc2c7de","ooh"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 00:00-05:00","","00:00-05:00","spot","spot","broadcast_investment_vs_value",,,,,"1290","1290",,,,"radio_slot:1f08c0fd-eb4b-e6e7-6886-28c25d37a51a","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 00:00-06:00","","00:00-06:00","spot","spot","broadcast_investment_vs_value",,,,,"1290","1290",,,,"radio_slot:859289aa-f8a0-8eaf-fb36-e32b8790fcbc","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 05:00-06:00","","05:00-06:00","spot","spot","broadcast_investment_vs_value",,,,,"1880","1880",,,,"radio_slot:1d083042-af9d-7f9c-af8e-e5f877b6a1a8","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 06:00-09:00","","06:00-09:00","spot","spot","broadcast_investment_vs_value",,,,,"3300","3300",,,,"radio_slot:9bc7efb0-8392-7cd4-b8bd-43afcc7a7dda","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 06:00-09:00","","06:00-09:00","spot","spot","broadcast_investment_vs_value",,,,,"3300","3300",,,,"radio_slot:6c339197-c105-a15f-db84-a8bc57f376c5","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 09:00-12:00","","09:00-12:00","spot","spot","broadcast_investment_vs_value",,,,,"1290","1290",,,,"radio_slot:284ba65d-4ad7-854c-d94f-8d09b89adfcb","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 09:00-12:00","","09:00-12:00","spot","spot","broadcast_investment_vs_value",,,,,"3080","3080",,,,"radio_slot:f0cb4c35-1707-1be7-6485-b593c257ed56","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 09:00-12:00","","09:00-12:00","spot","spot","broadcast_investment_vs_value",,,,,"3080","3080",,,,"radio_slot:0aa204cd-a2e3-e95d-2085-48656d37d08c","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 12:00-15:00","","12:00-15:00","spot","spot","broadcast_investment_vs_value",,,,,"2980","2980",,,,"radio_slot:f6258c0d-44cb-688a-eaef-5ef117aae3fb","radio_slot"
"radio","slot","gauteng","Soweto","","Soweto","Jozi FM","Jozi FM - 12:00-16:00","","12:00-16:00","spot","spot","broadcast_investment_vs_value",,,,,"2980","2980",,,,"radio_slot:4529edea-1ae5-3266-7ba9-8d11e8f7c666","radio_slot"
