"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"radio","package","gauteng","Soweto","","Soweto","regional","regional","Jozi FM","Jozi FM - Plan A - Generic Only - 6 Months","generic","Plan A - Generic Only - 6 Months","","unknown","","package","39905.00","","239430.00","39905.00","478860.00","180","","","6","false","true","radio_package:3ca94bc5-a086-d891-9401-139dfc792a2e","radio_package"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 00:00-05:00","spot","","00:00-05:00","english","30","spot","420.00","420.00","","","","","","","","false","true","radio_slot:be629608-8560-9c08-2842-315249a31a5f","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 00:00-05:00","spot","","00:00-05:00","english","30","spot","420.00","420.00","","","","","","","","false","true","radio_slot:1d7001bb-46f1-2ba3-ecbe-70617b56c5c9","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 00:00-05:00","spot","","00:00-05:00","english","30","spot","420.00","420.00","","","","","","","","false","true","radio_slot:f121dc43-aee9-d359-9b31-af6f769316b8","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 05:00-06:00","spot","","05:00-06:00","english","30","spot","795.00","795.00","","","","","","","","false","true","radio_slot:2fa1036c-1891-3e38-a716-b47e33b2975e","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 05:00-06:00","spot","","05:00-06:00","english","30","spot","795.00","795.00","","","","","","","","false","true","radio_slot:115b1985-9726-0552-043d-6ef2c8e4c7e0","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 05:00-06:00","spot","","05:00-06:00","english","30","spot","795.00","795.00","","","","","","","","false","true","radio_slot:22909b74-9f27-eaa2-c966-71b048de1f9b","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 06:00-09:00","spot","","06:00-09:00","english","30","spot","4350.00","4350.00","","","","","","","","false","true","radio_slot:36d8d7c8-e668-54f6-3cc3-513143f83756","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 06:00-09:00","spot","","06:00-09:00","english","30","spot","4350.00","4350.00","","","","","","","","false","true","radio_slot:69744591-0c11-f186-49b6-b155ac2b167e","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 06:00-09:00","spot","","06:00-09:00","english","30","spot","4350.00","4350.00","","","","","","","","false","true","radio_slot:32b77af5-bb0b-92c0-509c-598c0f8166c4","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 09:00-12:00","spot","","09:00-12:00","english","30","spot","4245.00","4245.00","","","","","","","","false","true","radio_slot:a82b9f12-d294-a110-5cba-6ed2461aae95","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 09:00-12:00","spot","","09:00-12:00","english","30","spot","4245.00","4245.00","","","","","","","","false","true","radio_slot:a8255470-d3f1-5e10-e6d3-cdb028c47c23","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 09:00-12:00","spot","","09:00-12:00","english","30","spot","4245.00","4245.00","","","","","","","","false","true","radio_slot:22c63648-ef52-41ef-8619-235ebeedc04a","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 12:00-15:00","spot","","12:00-15:00","english","30","spot","2805.00","2805.00","","","","","","","","false","true","radio_slot:a275a6d2-1b1d-5fd8-5524-a718fdaa3097","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 12:00-15:00","spot","","12:00-15:00","english","30","spot","2805.00","2805.00","","","","","","","","false","true","radio_slot:05e54722-7353-0212-e7df-1ce40cd6dd0c","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 12:00-15:00","spot","","12:00-15:00","english","30","spot","2805.00","2805.00","","","","","","","","false","true","radio_slot:50099552-45c2-0087-80ae-0b83973bc7fb","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 15:00-18:00","spot","","15:00-18:00","english","30","spot","3195.00","3195.00","","","","","","","","false","true","radio_slot:a5f03f07-992e-aac7-b9f4-d40e2b160ea6","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 15:00-18:00","spot","","15:00-18:00","english","30","spot","3195.00","3195.00","","","","","","","","false","true","radio_slot:d9c399b9-4703-1a08-5ded-1e1e79329ae7","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 15:00-18:00","spot","","15:00-18:00","english","30","spot","3195.00","3195.00","","","","","","","","false","true","radio_slot:edf73052-2729-b7de-0833-f21bbdd4068e","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 18:00-20:00","spot","","18:00-20:00","english","30","spot","2505.00","2505.00","","","","","","","","false","true","radio_slot:10c392ed-ef5b-c239-e3b0-bcb214dfc0da","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 18:00-20:00","spot","","18:00-20:00","english","30","spot","2505.00","2505.00","","","","","","","","false","true","radio_slot:ac0541a9-eba2-e8fe-c8f8-c60de2d25551","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 18:00-20:00","spot","","18:00-20:00","english","30","spot","2505.00","2505.00","","","","","","","","false","true","radio_slot:04187a8a-d5bd-7b6a-3ee7-3b8f4de8369c","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 20:00-00:00","spot","","20:00-00:00","english","30","spot","1050.00","1050.00","","","","","","","","false","true","radio_slot:36f6251d-0ed9-b3f7-44c6-b632201e370f","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 20:00-00:00","spot","","20:00-00:00","english","30","spot","1050.00","1050.00","","","","","","","","false","true","radio_slot:e1d7ccc9-4437-8b96-e357-569b5fb4c251","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - 20:00-00:00","spot","","20:00-00:00","english","30","spot","1050.00","1050.00","","","","","","","","false","true","radio_slot:e766da62-2191-f323-0bda-4d82c2c8c0a0","radio_slot"
"radio","package","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - Lunch Time","generic","Lunch Time","","english","","package","23000.00","","23000.00","","91920.00","16","","","","false","true","radio_package:b2c9d8c1-2716-7258-23f7-080f084f475b","radio_package"
"radio","package","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - Powerweek","generic","Powerweek","","english","","package","76000.00","","76000.00","","255240.00","38","","","","false","true","radio_package:406a07e9-8c8a-bfd9-ad3f-82c489ef3a34","radio_package"
"radio","package","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - Retail Package","generic","Retail Package","","english","","package","32000.00","","32000.00","","106770.00","16","","","","false","true","radio_package:3f21ebfb-5692-a804-7188-f0141ffb02ba","radio_package"
"radio","package","gauteng","Vanderbijlpark","","Vanderbijlpark","regional","regional","Kaya 959","Kaya 959 - Weekend Package","generic","Weekend Package","","english","","package","22000.00","","22000.00","","75840.00","32","","","","false","true","radio_package:9eae4a2b-9cb1-7510-2501-f280a01ffc34","radio_package"
