"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"ooh","site","Gauteng","Johannesburg","DiepKloof, Soweto","DiepKloof, Soweto","Gauteng","","BlackSpace","Soweto,, Johannesburg","Static Billboard | Outdoor","","","N/A","","Static Billboard | Outdoor","40000","45000","","","","","","","","false","true","ooh_site:188a715f-4cc4-480e-8ab0-4e0b4d141d83","ooh"
"ooh","site","Gauteng","Johannesburg","Fleufhof, Soweto","Fleufhof, Soweto","Gauteng","","BlackSpace","Soweto,, Johannesburg","Static Parking Wrap | Outdoor","","","N/A","","Static Parking Wrap | Outdoor","45000","55000","","","","","","","","false","true","ooh_site:6d3352fb-95fa-45fe-b124-4ab9fe275b56","ooh"
"ooh","site","Gauteng","Johannesburg","Gandhi Square, Marshalltown","Gandhi Square, Marshalltown","Gauteng","","BlackSpace","Gandhi Square,, Johannesburg","Static Wall Wrap | Outdoor","","","N/A","","Static Wall Wrap | Outdoor","120000","160000","","","","","","","","false","true","ooh_site:4c5d9a8a-1325-499e-a666-93759f72d925","ooh"
"ooh","site","Gauteng","Johannesburg","Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park","Gauteng","","BlackSpace","Hyde Park,, Johannesburg","Static Tower Wrap | Outdoor","","","N/A","","Static Tower Wrap | Outdoor","80000","100000","","","","","","","","false","true","ooh_site:46eef22c-ccdf-4e5a-824c-5a9a591e289d","ooh"
"ooh","site","Gauteng","Johannesburg","Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park","Gauteng","","BlackSpace","Hyde Park,, Johannesburg","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","10000","15000","","","","","","","","false","true","ooh_site:d71eecd6-c21f-4cdb-b6ea-e5adeafc2e1c","ooh"
"ooh","site","Gauteng","Johannesburg","Rosebank Mall, Rosebank","Rosebank Mall, Rosebank","Gauteng","","BlackSpace","Rosebank,, Johannesburg","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","15000","20000","","","","","","","","false","true","ooh_site:a39ec915-1024-4362-9d98-fc1c4274a4c8","ooh"
"ooh","site","Gauteng","Johannesburg","Rosebank Mall, Rosebank","Rosebank Mall, Rosebank","Gauteng","","BlackSpace","Rosebank,, Johannesburg","Static Corner Wrap | Outdoor","","","N/A","","Static Corner Wrap | Outdoor","25000","30000","","","","","","","","false","true","ooh_site:d4081eaa-077d-43c4-b366-94790f6089f5","ooh"
"ooh","site","Gauteng","Johannesburg","The Glen Mall, Oakdene","The Glen Mall, Oakdene","Gauteng","","BlackSpace","The Glen Mall,, Johannesburg","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","15000","20000","","","","","","","","false","true","ooh_site:3f021366-e6e7-44a1-8a59-1b6b299919b0","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","Gauteng","","BlackSpace","Bloed Street Mall,, Pretoria","Static Wall Banner | Indoor","","","N/A","","Static Wall Banner | Indoor","4500","8500","","","","","","","","false","true","ooh_site:8b9f25f4-1763-4374-9342-a66fb9e430fc","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","Gauteng","","BlackSpace","Bloed Street Mall,, Pretoria","Static Wall Banner | Indoor","","","N/A","","Static Wall Banner | Indoor","5500","8500","","","","","","","","false","true","ooh_site:1ccaf38e-af5d-4db2-99c0-ba77b6f44af4","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","Gauteng","","BlackSpace","Bloed Street Mall,, Pretoria","Static Lift Door Wrap | Indoor","","","N/A","","Static Lift Door Wrap | Indoor","4000","8000","","","","","","","","false","true","ooh_site:d5633d89-f86a-4fd7-b70f-7f2743fc10e9","ooh"
"ooh","site","Gauteng","Pretoria","CBD","CBD","Gauteng","","BlackSpace","Bloed Street Mall,, Pretoria","Static Taxi Rank Entrance Banner | Indoor","","","N/A","","Static Taxi Rank Entrance Banner | Indoor","10000","15000","","","","","","","","false","true","ooh_site:dfdf72bc-d3d3-4370-b61b-f61f37b258b1","ooh"
"ooh","site","Gauteng","Pretoria","Soshanguve","Soshanguve","Gauteng","","BlackSpace","Sunnypark Shopping, Centre, Pretoria","Digital Screen | Outdoor","","","N/A","","Digital Screen | Outdoor","10000","15000","","","","","","","","false","true","ooh_site:f0dab127-8a7a-46f6-aa0d-4e16c68a84c0","ooh"
