"supplier","site_code","site_name","city","suburb","province","inventory_rows","venue_type","premium_mass_fit","price_positioning_fit","audience_income_fit","youth_fit","family_fit","professional_fit","commuter_fit","tourist_fit","high_value_shopper_fit","audience_age_skew","audience_gender_skew","dwell_time_score","environment_type","buying_behaviour_fit","primary_audience_tags","secondary_audience_tags","recommendation_tags","intelligence_notes","data_confidence","updated_by"
"Eleven8","GP17","Menlyn Maine Central Square","Pretoria","Pretoria","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP18","Morningside Centre","Sandton","Sandton","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP19","Newtown Junction Piazza","Newtown","Newtown","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP20","Rosebank Mall","Rosebank","Rosebank","Gauteng","3","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP21","Springs Mall","Springs","Springs","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP22","The Glen Shopping Centre","Glenvista","Glenvista","Gauteng","3","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP23","Winifred Mandela Precinct","Bryanston","Bryanston","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP25","Wonderpark Food Court","Pretoria","Pretoria","Gauteng","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","GP24","Woodlands Boulevard","Woodlands","Woodlands","Gauteng","2","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN12","Ballito Junktion Corner","Ballito","Ballito","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN13","Ballito Village","Ballito","Ballito","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN14","Ballito Village Kwikspar","Ballito","Ballito","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN01","Boardwalk Inkwazi Shopping Centre","Richards Bay","Richards Bay","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN10","Cornubia Mall","Mount Edgecombe","Mount Edgecombe","KwaZulu-Natal","2","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN02","Gallaria Mall","Amanzimtoti","Amanzimtoti","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN11","M41 Highway Billboard","Mount Edgecombe","Mount Edgecombe","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN03","Musgrave Centre","Berea","Berea","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN05","Phoenix Plaza","Phoenix","Phoenix","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN04","Southcoast Mall","Margate","Margate","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN15","Suncoast Entertainment","Durban","Durban","KwaZulu-Natal","1","","","","","","","","","","","","","","","","","","","","",""
"Eleven8","KZN06","The Workshop","Durban CBD","Durban CBD","KwaZulu-Natal","2","","","","","","","","","","","","","","","","","","","","",""
