inventory_key,channel,inventory_row_type,source_table,source_id,source_type,outlet_code,outlet_name,inventory_name,media_subtype,package_name,slot_label,day_group,start_time,end_time,province,city,suburb,area,region_cluster_code,market_scope,coverage_type,market_tier,language_display,language_notes,broadcast_frequency,duration_seconds,rate_type,cost_zar,raw_rate_zar,investment_zar,cost_per_month_zar,value_zar,exposure_count,monthly_exposure_count,duration_weeks,duration_months,is_available,package_only,is_national,has_pricing,listenership_daily,listenership_weekly,listenership_period,existing_target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,existing_audience_racial_skew,existing_urban_rural_mix,existing_audience_keywords,existing_source_notes,enrich_target_audience,enrich_audience_age_skew,enrich_audience_gender_skew,enrich_audience_lsm_range,enrich_audience_racial_skew,enrich_urban_rural_mix,enrich_audience_keywords,enrich_buying_behaviour_fit,enrich_price_positioning_fit,enrich_sales_model_fit,enrich_objective_fit_primary,enrich_objective_fit_secondary,enrich_environment_type,enrich_premium_mass_fit,enrich_data_confidence,enrich_notes
ooh_site:4d9c89a6-a5f2-4f92-b3ca-a8b3e970efba,ooh,site,inventory_items_final,4d9c89a6-a5f2-4f92-b3ca-a8b3e970efba,ooh,,BlackSpace,"Canal Walk Mall,, Cape Town",Digital Screen | Indoor,,,,,,Western Cape,Cape Town,Century City,Century City,western-cape,Western Cape,,,N/A,,,,Digital Screen | Indoor,50000,60000,,,,,,,,"Immediately Canal Walk Mall
Traffic Count: 1 500 000 GPS Coordinates:",false,false,true,,,,,,,6 ? 10+,,,,1 500 000 | 3m (h) x 12m (w) = 36m?,"","","","","","","","","","","","","","","",""
ooh_site:e9b45bb4-4ef5-4c28-bb70-26ae1ee57c26,ooh,site,inventory_items_final,e9b45bb4-4ef5-4c28-bb70-26ae1ee57c26,ooh,,BlackSpace,"Canal Walk Mall,, Cape Town",Digital Screen | Indoor,,,,,,Western Cape,Cape Town,Century City,Century City,western-cape,Western Cape,,,N/A,,,,Digital Screen | Indoor,20000,30000,,,,,,,,true,false,false,true,,,,,,,6 ? 10+,,,,"1 500 000 | 3,1m (h) x 6,3m (w) = 19,53m? | 408","","","","","","","","","","","","","","","",""
ooh_site:b4935c12-aff7-4e61-8cc8-cc8842516e39,ooh,site,inventory_items_final,b4935c12-aff7-4e61-8cc8-cc8842516e39,ooh,,BlackSpace,"Canal Walk Mall,, Cape Town",Static Wall Billboard | Outdoor,,,,,,Western Cape,Cape Town,Century City,Century City,western-cape,Western Cape,,,N/A,,,,Static Wall Billboard | Outdoor,40000,50000,,,,,,,,"Immediately Canal Walk Mall
Traffic Count:",false,false,true,,,,,,,6 ? 10+,,,,"1 500 000 | 2,5m (h) x 5m (w) = 12,5m? | PVC | Yes | Production & 19 500
 Canal Walk Mall, Century City,","","","","","","","","","","","","","","","",""
ooh_site:fa95cf87-6d57-4756-91ac-05eb276cf404,ooh,site,inventory_items_final,fa95cf87-6d57-4756-91ac-05eb276cf404,ooh,,BlackSpace,"Canal Walk Mall,, Cape Town",Static Wall Billboard | Outdoor,,,,,,Western Cape,Cape Town,Century City,Century City,western-cape,Western Cape,,,N/A,,,,Static Wall Billboard | Outdoor,40000,50000,,,,,,,,"Immediately Canal Walk Mall
Traffic Count:",false,false,true,,,,,,,6 ? 10+,,,,"1 500 000 | 6m (h) x 3m (w) = 18m? | PVC | Yes | Production & 19 500
 Canal Walk Mall, Century City,","","","","","","","","","","","","","","","",""
ooh_site:758d9d34-0f92-401b-8350-fdefd76685f5,ooh,site,inventory_items_final,758d9d34-0f92-401b-8350-fdefd76685f5,ooh,,BlackSpace,"Canal Walk Mall,, Cape Town",Digital Screen | Indoor,,,,,,Western Cape,Cape Town,Century City,Century City,western-cape,Western Cape,,,N/A,,,,Digital Screen | Indoor,20000,30000,,,,,,,,"Immediately
Traffic Count:",false,false,true,,,,,,,6 ? 10+ Canal Walk Mall,,,,"1 500 000 | 4,6m (h) x 7,7m (w) = 35,42m?","","","","","","","","","","","","","","","",""
ooh_site:cca155b1-14ba-4edd-9423-b71804cde4d2,ooh,site,inventory_items_final,cca155b1-14ba-4edd-9423-b71804cde4d2,ooh,,BlackSpace,"Canal Walk Mall,, Cape Town",Digital Screen | Indoor,,,,,,Western Cape,Cape Town,Century City,Century City,western-cape,Western Cape,,,N/A,,,,Digital Screen | Indoor,80000,90000,,,,,,,,"Immediately Canal Walk Mall
Traffic Count: 1 500 000 Total network of 18 digital screens across floor GPS Coordinates:",false,false,true,,,,,,,6 ? 10+,,,,"1 500 000 | 1,76m (h) x 3,2m (w) = 5,6m? x 18 bridges in the Centre.","","","","","","","","","","","","","","","",""
ooh_site:56f6b011-169c-4b69-9e86-30713dbe9795,ooh,site,inventory_items_final,56f6b011-169c-4b69-9e86-30713dbe9795,ooh,,BlackSpace,"Cape Gate Mall,, Cape Town",Static Hanging Banner | Indoor,,,,,,Western Cape,Cape Town,Brackenfell,Brackenfell,western-cape,Western Cape,,,N/A,,,,Static Hanging Banner | Indoor,25000,35000,,,,,,,,"Immediately
Traffic Count:",false,false,true,,,,,,,5 ? 9+ Cape Gate Mall,,,,"860 000 | 6m (h) x 5m (w) = 30m? | Contra-Vision | Yes | Production & 16 500
 Cape Gate Precinct, Brackenfell,","","","","","","","","","","","","","","","",""
ooh_site:128deeaf-4ef3-4fd1-9b5e-24c6bda137f9,ooh,site,inventory_items_final,128deeaf-4ef3-4fd1-9b5e-24c6bda137f9,ooh,,BlackSpace,"Cape Gate Mall,, Cape Town",Digital Screen | Indoor,,,,,,Western Cape,Cape Town,Brackenfell,Brackenfell,western-cape,Western Cape,,,N/A,,,,Digital Screen | Indoor,15000,20000,,,,,,,,"Immediately
Traffic Count:",false,false,true,,,,,,,5 ? 9+ Cape Gate Mall,,,,"860 000 | 3,1m (h) x 5,74m (w) = 17,8m?","","","","","","","","","","","","","","","",""
ooh_site:6127c5e8-7021-4128-b3cc-1fb0fc25b113,ooh,site,inventory_items_final,6127c5e8-7021-4128-b3cc-1fb0fc25b113,ooh,,BlackSpace,"CBD, Johannesburg",Static Wall Billboard | Outdoor,,,,,,Gauteng,Johannesburg,CBD,CBD,gauteng,Gauteng,,,N/A,,,,Static Wall Billboard | Outdoor,45000,60000,,,,,,,,true,false,false,true,,,,,,,4-8 End Str.kmz,,,,"900 000 | 8,5m (h) x 6m (w) = 51,5m? | PVC | Yes | Production & 22 500
 409 End Street, Johannesburg.","","","","","","","","","","","","","","","",""
ooh_site:068b7bbc-c485-4d9e-89d8-3ab1751e9569,ooh,site,inventory_items_final,068b7bbc-c485-4d9e-89d8-3ab1751e9569,ooh,,BlackSpace,"Delft Taxi Rank,, Cape Town",Static Tower | Outdoor,,,,,,Western Cape,Cape Town,Delft,Delft,western-cape,Western Cape,,,N/A,,,,Static Tower | Outdoor,35000,40000,,,,,,,,true,false,false,true,,,,,,,4?8 Delft Taxi Rank.kmz,,,,"1 100 000 | 8m (h) x 3m (w) = 24m? | PVC | No | Production & 21 500
 51 Verlorenvlei Crescent, Delft, Cape","","","","","","","","","","","","","","","",""
