station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
YFM 99.2,station,,,,99.2 FM,regional,gauteng,Johannesburg; Gauteng,english,Young South Africans / Gen Z and youth audience.,18-35,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; Gen Z; urban; Johannesburg; hip hop; house; kwaito; R&B,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R4,500–R7,000 per 30"" spot; Drive (16:00–18:00): R3,500–R5,500 (YFM rate card 2024-2025) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",https://www.yfm.co.za/; https://broadcast.media.co.za/99-2-yfm/,,,radio_y|station,radio_y,radio_station
YFM 99.2,package,,,Live Reads + Digital (1 Week),99.2 FM,regional,gauteng,Johannesburg; Gauteng,english,Young South Africans / Gen Z and youth audience.,18-35,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; Gen Z; urban; Johannesburg; hip hop; house; kwaito; R&B,,,,https://www.yfm.co.za/; https://broadcast.media.co.za/99-2-yfm/,,,radio_y|package|Live Reads + Digital (1 Week),radio_y,radio_package
YFM 99.2,package,,,50 for 50 Package - Generics (4 Weeks),99.2 FM,regional,gauteng,Johannesburg; Gauteng,english,Young South Africans / Gen Z and youth audience.,18-35,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; Gen Z; urban; Johannesburg; hip hop; house; kwaito; R&B,,,,https://www.yfm.co.za/; https://broadcast.media.co.za/99-2-yfm/,,,radio_y|package|50 for 50 Package - Generics (4 Weeks),radio_y,radio_package
YFM 99.2,package,,,100 for 100 - Generics + Digital (4 Weeks),99.2 FM,regional,gauteng,Johannesburg; Gauteng,english,Young South Africans / Gen Z and youth audience.,18-35,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; Gen Z; urban; Johannesburg; hip hop; house; kwaito; R&B,,,,https://www.yfm.co.za/; https://broadcast.media.co.za/99-2-yfm/,,,radio_y|package|100 for 100 - Generics + Digital (4 Weeks),radio_y,radio_package
