source_file,channel,page,page_text
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,11,"                                                                           munghanalonenefm.co.za

                                                                           Munghana Lonene FM:          REGIONAL
                                                                           Makomba Ndlela               COVERAGE
                                                                                                        Adults (Age 15+)
                                                                           @munghanalonene                  Listenership:
                                                                                                          1,424,000
                                                                           Munghana Lonene FM

                                                                           @Munghana                                        NORTHERN
                                                                                                                              CAPE

                                                                           Munghanalonene_fm




 EFFECTIVE 1 JULY 2024
                                                                                                          Munghana Lonene FM is a trendsetter (Makomba
TIME               NETT           TIME             NETT             TIME             NETT
BAND              RATES           BAND            RATES             BAND            RATES                 Ndlela) radio station that caters to Xitsonga-speaking
                                                                                                          and understanding individuals who appreciate and
MONDAY - FRIDAY                   SATURDAY                          SUNDAY
                                                                                                          embrace the Xitsonga cultural heritage. Through a
00:00-03:00          540          00:00-03:00           210         00:00-03:00            240
                                                                                                          blend of informative, educational and entertaining
03:00-05:00          720          03:00-06:00           840         03:00-06:00            540
                                                                                                          content, the station represents the rich diversity of
05:00-06:00        1 530          06:00-07:00           840         06:00-08:00          1 530
06:00-09:00        3 450          07:00-09:00         2 130         08:00-09:00          1 530
                                                                                                          Xitsonga culture for both current and future generations.
09:00-12:00        2 250          09:00-12:00         2 010         09:00-10:00          1 530
                                                                                                          Additionally, the Xitsonga Music Awards, a flagship
12:00-14:00        2 730          12:00-14:00         2 010         10:00-11:00          1 170            event of the station, is dedicated to preserving and
14:00-15:00        1 650          14:00-18:00         1 890         11:00-13:00          1 170            promoting Xitsonga music and culture.
15:00-18:00        2 490          18:00-20:00         1 890         13:00-14:00          1 530
18:00-19:00        2 130          20:00-21:00         1 530         14:00-18:00            780            Munghana Lonene FM maintains a family-oriented
19:00-22:00        1 530          21:00-24:00         1 170         18:00-19:00            660            approach, fostering a strong sense of community. Its
22:00-24:00          480                                            19:00-21:00            660            content is thoughtfully balanced to resonate with
                                                                    21:00-24:00            240            audiences across different age groups and
                                                                                                          geographical locations both local and international. The
CONVERSION TABLE                                                                                          station's primary coverage areas include Limpopo,
                                                                                                          Mpumalanga, Gauteng, and the North West province.
Duration:         5”       10”   15”     20”    25”    30”    35”   40”     45“    50”      55”   60”
                                                                                                          Furthermore, listeners from other countries and across
                                                                                                          South Africa can access Munghana Lonene FM
Multiply Rate   0.75 0.75        0.75    0.80 0.80    1.00    1.15 1.30     1.50   1.65     1.80 2.00
                                                                                                          online.
Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,12,"                                                                                  phalaphalafm.co.za
                                                                                                            REGIONAL
                                                                                  Phalaphala FM:            COVERAGE
                                                                                  Ri Na ‘Nwi Misi Yothe     Adults (Age 15+)
                                                                                                                Listenership:
                                                                                  Phalaphala_Officialpage
                                                                                                             1,119,000
                                                                                  Phalaphala Fm:
                                                                                  Ri na ‘nwi misi yothe
                                                                                                                                NORTHERN
                                                                                  @Phalaphala                                     CAPE

                                                                                  phalaphala_fm




 EFFECTIVE 1 JULY 2024
TIME               NETT           TIME             NETT             TIME                 NETT
BAND                              BAND                              BAND                                     Phalaphala FM serves as a proud and modern home
                  RATES                           RATES                                 RATES
                                                                                                             for Tshivenda-speaking and understanding individuals. It
MONDAY - FRIDAY                   SATURDAY                          SUNDAY
                                                                                                             represents cultural diversity by preserving a rich heritage
00:00-03:00          300          00:00-03:00           330         00:00-03:00              300
                                                                                                             through information, education, and entertainment for
03:00-05:00          600          03:00-06:00           660         03:00-06:00              300
                                                                                                             both current and future generations. The station also
05:00-06:00        1 530          06:00-07:00         1 530         06:00-07:00            1 290
                                                                                                             celebrates its heritage and culture through significant
06:00-07:00        2 970          07:00-09:00         1 650         07:00-10:00            1 530
                                                                    10:00-12:00            1 050
                                                                                                             events such as the Phalaphala FM Heritage Festival
07:00-09:00        2 970          09:00-11:00         1 050
09:00-12:00        2 010          11:00-12:00         1 050         12:00-14:00            1 050             and the Tshivenda Music Awards.
12:00-15:00        2 010          12:00-14:00         1 050         14:00-18:00            1 170
15:00-18:00        1 890          14:00-18:00         1 050         18:00-19:00              600             Through its slogan (Ri Na Nwi Misi Yothe), Phalaphala
18:00-19:00        1 890          18:00-21:00           660         19:00-20:00              600             FM remains committed to being accessible to its
19:00-20:00        1 890          21:00-24:00           390         20:00-21:00              480             followers/listeners in all circumstances, whether good or
20:00-21:00        1 890                                            21:00-24:00              300             bad.
21:00-24:00          420
                                                                                                             With a family-oriented approach, Phalaphala FM
                                                                                                             fosters a strong sense of community. Its content is
CONVERSION TABLE                                                                                             thoughtfully balanced to appeal to both rural and urban
Duration:         5”       10”   15”     20”    25”    30”    35”   40”    45“       50”      55”   60”      audiences. The station’s primary footprint covers
                                                                                                             Limpopo and Gauteng, with additional reach extending
Multiply Rate   0.75 0.75        0.75    0.80 0.80     1.00   1.15 1.30    1.50      1.65    1.80 2.00       into North West and Mpumalanga. Listeners from other
                                                                                                             countries beyond South Africa can access Phalaphala
Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4                                                                 FM online."
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,13,"                                                                               thobelafm.co.za

                                                                               Thobela FM Yaka         REGIONAL
                                                                                                       COVERAGE
                                                                                                       Adults (Age 15+)
                                                                               @ThobelaFMYaka              Listenership:
                                                                                                        2,713,000
                                                                               @thobelafmyaka

                                                                               Thobela FM                              NORTHERN
                                                                                                                         CAPE

                                                                               Thobelafm



 EFFECTIVE 1 JULY 2024

TIME             NETT         TIME                 NETT          TIME                NETT
BAND            RATES         BAND                RATES          BAND               RATES
MONDAY - FRIDAY               SATURDAY                           SUNDAY
00:00-03:00         210       00:00-05:00            420         00:00-06:00              420            Thobela FM is a progressive contemporary voice of
03:00-05:00       2 730       05:00-06:00          1 530         06:00-07:00            3 930            Sepedi speaking and/or understanding South Africans
05:00-06:00       2 730       06:00-07:00          4 410         07:00-08:00            5 310            who are proud and respectful of their cultural heritage.
06:00-09:00      10 110       07:00-09:00          5 310         08:00-11:00            4 170
09:00-12:00       5 010       09:00-10:00          3 210         11:00-13:00            4 410
                                                                                                         Thobela FM is the custodian of the Northern Sotho
12:00-13:00       5 010       10:00-13:00          2 730         13:00-15:00            2 250
                                                                                                         people. Listeners trust the station and trust the
13:00-15:00       4 710       13:00-14:00          1 770         15:00-17:30            2 490
                                                                                                         messaging being provided.
15:00-18:00       5 610       14:00-15:00          1 770         17:30-20:00            2 130
18:00-19:00       4 410       15:00-18:00          2 250         20:00-21:00              720
                                                                                                         The station prides itself on content that is authentic
19:00-20:30       4 710       18:00-22:00          1 530         21:00-22:00              600
20:30-21:00       4 710       22:00-24:00            540         22:00-23:00              600
                                                                                                         and current and continues to keep abreast of local
21:00-22:00       1 410                                          23:00-24:00              600
                                                                                                         trends. Thobela FM remains amongst the top 10 SA
22:00-24:00         600                                                                                  Radio Stations.


CONVERSION TABLE
Duration:       5”    10”   15”    20”      25”     30”    35”   40”    45“       50”      55”   60”

Multiply Rate   0.75 0.75   0.75   0.80 0.80       1.00    1.15 1.30    1.50     1.65     1.80 2.00

Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,14,"                                                                                         trufm.co.za
                                                                                                        REGIONAL
                                                                                         @trufm         COVERAGE
                                                                                                        Adults (Age 15+)
                                                                                                            Listenership:
                                                                                                            252,000
                                                                                         @trufm

                                                                                                                            NORTHERN
                                                                                         @trufm                               CAPE




 EFFECTIVE 1 JULY 2024
 TIME              NETT           TIME             NETT             TIME             NETT
 BAND             RATES           BAND            RATES             BAND            RATES

MONDAY - FRIDAY                   SATURDAY                          SUNDAY
                                                                                                        Trufm is a Public Broadcasting Service (PBS) platform
00:00-03:00          180          00:00-03:00           180         00:00-03:00           240
                                                                                                        for the youth, the youthful and leaders of the future. The
03:00-06:00          300          03:00-06:00           390         03:00-06:00           660
                                                                                                        station is focused on providing its pre-urban, ambitious,
06:00-09:00        1 530          06:00-09:00           600         06:00-09:00           660
                                                                    09:00-12:00           840
                                                                                                        confident and fun-loving Eastern Cape listeners with the
09:00-11:30          960          09:00-12:00           720
11:30-12:00          780          12:00-15:00         1 170         12:00-15:00         1 170           tools for self-development and improved quality of life.
12:00-15:00          960          15:00-17:00         1 170         15:00-17:00           600
15:00-18:00        1 650          17:00-18:00         1 290         17:00-18:00           600           Trufm Broadcasts in English (60%) and IsiXhosa
18:00-19:00        1 170          18:00-21:00           600         18:00-21:00           960           (40%), offering programming that appeals to the youthful
19:00-22:00          480          21:00-24:00           540         21:00-24:00           300           audience in their mother tongue and provides a meeting
22:00-24:00          360                                                                                point for different cultures in the region.

                                                                                                        The station exists to inspire young minds through
                                                                                                        interactive,   positive and    socially   conscious
CONVERSION TABLE                                                                                        programming, that prepares them today for what they
                                                                                                        could achieve tomorrow.
Duration:         5”       10”   15”     20”    25”    30”    35”   40”    45“    50”      55”    60”

Multiply Rate   0.75 0.75        0.75    0.80 0.80    1.00    1.15 1.30    1.50   1.65    1.80 2.00

Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,15,"                                                                                     ukhozifm.co.za

                                                                                     @UkhoziFMOfficial       RIGIONAL
                                                                                                            COVERAGE
                                                                                     ukhozi_fm              Adults (Age 15+)
                                                                                                                Listenership:
                                                                                                             7,546,000
                                                                                     ukhozi_fm

                                                                                     UkhoziFMTV                                 NORTHERN
                                                                                                                                  CAPE
                                                                                     @ukhozifm




 EFFECTIVE 1 JULY 2024
TIME               NETT          TIME                  NETT                 TIME              NETT          Ukhozi FM is the leading African Language Station in
BAND              RATES          BAND                 RATES                 BAND             RATES          South Africa with audiences in excess of 7.5 million.
MONDAY - FRIDAY                   SATURDAY                              SUNDAY                              Broadcasting from Durban in IsiZulu, the station is one of the
00:00-03:00           900         00:00-03:00           1 290           00:00-03:00             960         biggest in Africa and keeps its audiences connected to their
03:00-05:00         8 760         03:00-06:00           4 710           03:00-06:00           8 760
                                                                                                            cultural identity in a modern world context. Playing a mix of
                                                                                                            Maskandi, Mbaqanga, Kwaito, Gospel, Amapiano, Pop,
05:00-06:00        11 910         06:00-07:00          13 800           06:00-07:00           8 760
                                                                                                            House, Jazz, Hip Hop, and R&B music, it appeals to its
06:00-09:00        20 580         07:00-09:00          13 800           07:00-09:00           8 310
                                                                                                            audiences’ varied taste in African music.
09:00-12:00        17 400         09:00-12:00          12 360           09:00-12:00           8 310
12:00-12:30        11 460         12:00-15:00           7 110           12:00-15:00           5 010         Focused on edutainment and infotainment as a guiding
12:30-15:00        11 460         15:00-18:00           7 110           15:00-17:00           5 610         philosophy, it provides an interactive environment for its
15:00-18:00        19 560         18:00-21:00           3 450           17:00-20:00           3 210         listeners, giving them access to news, current affairs, talk
18:00-19:00        11 910         21:00-24:00           2 730           20:00-21:00           3 210         shows, music, sport, education, weather, and traffic.
19:00-20:00         9 660                                               21:00-24:00             660         Ukhozi FM’s priority is to provide a source of upliftment,
20:00-24:00         2 010                                                                                   power, comfort, escapism, connectedness, and culture to its
                                                                                                            listeners.

CONVERSION TABLE                                                                                            Ukhozi FM has a vast following of IsiZulu speaking and
                                                                                                            understanding audiences in South Africa, in particular, the
Duration:         5”      10”   15”     20”     25”     30”     35”   40”     45“      50”    55”     60”   youth while reinforcing a sense of pride and culture. Boasting
                                                                                                            award-winning radio personalities and radio legends,
Multiply Rate   0.75 0.75       0.75   0.80 0.80       1.00     1.15 1.30     1.50    1.65    1.80 2.00     Ukhozi FM also provides constant learning and advice on
                                                                                                            adapting to the modern lifestyle essential for listeners’
Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4                                                                personal development."
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,16,"                                                                                umhlobowenenefm.co.za


                                                                                @umhlobowenenefm        REGIONAL
                                                                                88-106                  COVERAGE
                                                                                                        Adults (Age 15+)
                                                                                                            Listenership:
                                                                                                          4,183,000
                                                                                @UWFM88-106FM


                                                                                @umhlobowenenefm                            NORTHERN
                                                                                                                              CAPE


                                                                                umhlobowenenefm



 EFFECTIVE 1 JULY 2024
TIME             NETT           TIME            NETT              TIME              NETT
BAND            RATES           BAND           RATES              BAND             RATES
                                                                                                        Broadcasting from Port Elizabeth, Cape Town, uMthatha
MONDAY - FRIDAY                SATURDAY                           SUNDAY
                                                                                                        and Johannesburg, Umhlobo Wenene FM is the most
00:00-03:00        540         00:00-04:30           780          00:00-04:30            330
                                                                                                        dominant medium in two provinces Eastern and Western
03:00-05:00      4 410         04:30-06:00         2 490          04:30-09:00          5 010
                                                                                                        Cape, outperforming all other media. It is the only African
05:00-06:00      9 660         06:00-07:00         3 690          09:00-11:00          6 210
06:00-09:00     15 240         07:00-10:00         6 510          11:00-13:00          4 710
                                                                                                        language station to broadcast in 7 of the 9 provinces and
09:00-12:00      9 660         10:00-11:00         6 810          13:00-15:00          4 710
                                                                                                        covers all of SA’s major metropoles.
12:00-13:00      6 510         11:00-13:00         5 610          15:00-18:00          4 410
13:00-15:00      5 310         13:00-15:00         5 610          18:00-19:00          1 770            Aimed at people who understand and speak IsiXhosa,
15:00-18:00      8 760         15:00-18:00         4 410          19:00-22:00          1 770            Umhlobo Wenene FM is a beacon to those who seek
18:00-19:00      5 910         18:00-22:00         2 250          22:00-24:00            390            to preserve and protect their language, customs, and
19:00-21:00      6 510         22:00-24:00           720                                                traditions.
21:00-22:00      1 530
22:00-24:00        900                                                                                  The station seeks to serve its listeners with honour,
                                                                                                        integrity and modern education. Providing inspiring
                                                                                                        information, geared towards engendering a culture of
CONVERSION TABLE                                                                                        personal growth and development, whilst continuously
                                                                                                        providing global entertainment. With its mix of Kwaito,
Duration:       5”      10”   15”    20”     25”    30”    35”   40”     45“    50”      55”   60”      R&B, Choral gospel, Hip hop, Jazz and House music,
                                                                                                        Umhlobo Wenene FM enjoys a massive loyal
Multiply Rate   0.75 0.75     0.75   0.80 0.80     1.00    1.15 1.30     1.50   1.65    1.80 2.00       listenership.

Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,17,"                                                                                                       RIGIONAL
                                                                                                      COVERAGE
                                                                                                      Adults (Age 15+)
                                                                                                          Listenership:
                                                                                       SAfmRadio              1,000


                                                                                                                          NORTHERN
                                                                                                                            CAPE




 EFFECTIVE 1 JULY 2024
TIME               NETT          TIME                 NETT         TIME             NETT
BAND              RATES          BAND                RATES         BAND            RATES                    XK FM targets the San people of Platfontein in
MONDAY - FRIDAY                  SATURDAY                          SUNDAY                                   the Northern Cape to preserve the !Xun and Khwe
00:00-06:00         -            00:00-06:00           -           00:00-06:00           -                  cultures, uplifting, developing and informing the
06:00-09:00        390           06:00-09:00          360          06:00-09:00          360                 communities. This community consists of the !Xun
09:00-12:00        390           09:00-12:00          360          09:00-12:00          360                 who makes up 64% of listeners and the Khwe who
12:00-15:00        390           12:00-15:00          360          12:00-15:00          360                 fall into LSM 1-6. Just under 30% of listeners are
15:00-19:00        390           15:00-19:00          360          15:00-19:00          360                 aged 16-24, 30% are over 50, 34% are 25-34 and
19:00-21:00        390           19:00-21:00          360          19:00-21:00          360                 15% are aged 35-49.
21:00-24:00        390           21:00-24:00          360          21:00-24:00          360
                                                                                                            Broadcasting in !Xuntali and Khwedam while
                                                                                                            Afrikaans serves as the station’s bridging
                                                                                                            language. The format consists of talk and music,
                                                                                                            with a strong focus on the San culture.

CONVERSION TABLE                                                                                            The music played is predominately traditional San
Duration:         5”      10”   15”     20”    25”     30”   35”   40”    45“    50”      55”   60”         music, as well as South African music and a small
                                                                                                            amount of international music. Talk revolves
Multiply Rate   0.75 0.75       0.75   0.80 0.80      1.00   1.15 1.30    1.50   1.65     1.80 2.00         around cultural matters and community life.

Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,18,"                                                                                                          channelafrica.co.za

                                                                                                          @ChannelAfrica1

                                                                                                          @channelafrica1

                                                                                                          @ChannelAfrica1

                                                                                                          @ChannelAfrica1

                                                                                                          @Channelfrica1             AFRICA AND BEYOND



 EFFECTIVE 1 JULY 2024
TIME               NETT            TIME                 NETT               TIME              NETT                  Channel Africa is an online, International radio
BAND              RATES            BAND                RATES               BAND             RATES                  station, broadcasting on satellite and the internet to the
MONDAY - FRIDAY                    SATURDAY                                SUNDAY                                  rest of the world. Broadcasting in five languages:
00:00-03:00        330             00:00-03:00          330                00:00-03:00       540                   English, French, Chinyanja, Portuguese and KiSwahili.
03:00-06:00        660             03:00-06:00          540                03:00-06:00       600                   Channel Africa boasts about 100 correspondents
06:00-09:00        600             06:00-09:00          600                06:00-09:00       330                   across the continent, who are always ready to give
09:00-12:00        660             09:00-12:00          330                09:00-12:00       540                   pound-for-pound accounts of developments as they
12:00-13:00        600             12:00-14:00          540                12:00-14:00       540                   happen.
13:00-14:00        540             14:00-17:00          540                14:00-17:00       330
14:00-17:00        420             17:00-18:00          330                17:00-18:00       420                   Channel Africa’s mandate is to support South
17:00-18:00        600             18:00-19:00          420                18:00-19:00       330                   Africa’s interest through the production and broadcast of
18:0019:00         330             19:00-20:00          330                19:00-20:00       330
                                                                                                                   innovative, dynamic and stimulating content, and to
19:00-20:00        330             20:00-24:00          330                20:00-24:00       330
                                                                                                                   contribute to the development of Africa. The station’s
20:00-21:00        330
                                                                                                                   footprint reaches as far as the Americas, Europe, the
21:00-24:00        330
                                                                                                                   US and Asia, broadcasting 24/7.

CONVERSION TABLE
Duration:         5”      10”   15”    20”       25”    30”    35”   40”     45“     50”    55”     60”

Multiply Rate   0.75 0.75       0.75   0.80 0.80       1.00    1.15 1.30     1.50    1.65   1.80 2.00

Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,19,"                                                                                            lotusfm.co.za
                                                                                                            REGIONAL
                                                                                            @lotus.fm       COVERAGE
                                                                                                            Adults (Age 15+)
                                                                                                                Listenership:
                                                                                            @lotusfm            237,000

                                                                                            @lotus_fm
                                                                                                                                NORTHERN
                                                                                            @lotusfm                              CAPE


                                                                                            LotusFM



EFFECTIVE 1 JULY 2024

TIME               NETT            TIME                 NETT           TIME            NETT
BAND              RATES            BAND                RATES           BAND           RATES
MONDAY - FRIDAY                    SATURDAY                            SUNDAY                                  Lotus FM is all about fulfilling the cultural, information
00:00-05:00          210           00:00-05:00             180         00:00-06:00           180
                                                                                                               and entertainment needs of the affluent South African
05:00-06:00          720           05:00-06:00             240         06:00-09:00           900
                                                                                                               Indian population across three religious denominations
06:00-09:00        2 250           06:00-09:00           1 770         09:00-12:00         1 050
                                                                                                               (Hinduism, Islam, and Christianity) in six languages.
09:00-12:00        2 490           09:00-12:00           1 170         12:00-13:00           660
12:00-12:30        1 770           12:00-13:00             540         13:00-15:00           720
                                                                                                               Lotus FM’s programming policy is underpinned by
12:30-15:00        1 770           13:00-15:00             540         15:00-17:00           720
                                                                                                               core editorial values that reflect the proudly South
15:00-18:00        1 530           15:00-18:00             540         17:00-19:00           240
                                                                                                               African Indian identity, while affirming the audiences
18:00-19:00          420           18:00-21:00             240         19:00-22:00           300
                                                                       22:00-24:00           180
                                                                                                               rich Indian culture and heritage.
19:00-21:00          420           21:00-24:00             240
21:00-24:00          210
                                                                                                               The station’s discerning audience has an increased
                                                                                                               appetite for quality talk, latest news and the best in
                                                                                                               Eastern and Western music, while still maintaining a
CONVERSION TABLE                                                                                               strong affinity towards their religion and culture.
Duration:         5”       10”   15”    20”      25”    30”      35”   40”    45“    50”      55”     60”

Multiply Rate   0.75 0.75        0.75   0.80 0.80       1.00     1.15 1.30    1.50   1.65     1.80 2.00

Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,20,"                                                                                          radio2000.co.za
                                                                                                             NATIONAL
                                                                                                            COVERAGE
                                                                                          Radio2000         Adults (Age 15+)
                                                                                                                Listenership:
                                                                                                              1,929,000
                                                                                          radio2000_za

                                                                                                                                NORTHERN
                                                                                          Radio2000_ZA                            CAPE




 EFFECTIVE 1 JULY 2024
TIME               NETT        TIME                 NETT            TIME                  NETT
BAND              RATES        BAND                RATES            BAND                 RATES
MONDAY - FRIDAY                SATURDAY                             SUNDAY                                    RADIO 2000 is a cosmopolitan Music driven national
00:00-04:00          420       00:00-03:00            330           00:00-03:00             480
                                                                                                              radio station that broadcasts in English. The station
04:00-06:00          720       03:00-06:00            960           03:00-06:00             660
                                                                                                              provides content that is of high quality and engages
06:00-09:00        3 690       06:00-09:00          2 250           06:00-09:00           2 010
                                                                                                              audiences in healthy discussions, that reflect and aim
09:00-12:00        2 490       09:00-12:00          2 250           09:00-12:00           2 250
                                                                                                              to unite South Africa’s diverse cultures.
12:00-15:00        2 490       12:00-15:00          1 890           12:00-15:00           2 250
15:00-18:00        3 690       15:00-18:00          2 010           15:00-18:00           2 250
                                                                                                              The programme offering is more Lifestyle, Family
18:00-19:00        2 970       18:00-21:00          1 050           18:00-19:00             960
                                                                                                              matters orientated with arts and culture dropping in
19:00-21:00        2 730       21:00-24:00            600           19:00-22:00             660
                                                                                                              once in a while as well as Travel, Sports News,
21:00-24:00          840                                            22:00-24:00             600
                                                                                                              Business and Personal Finance.

                                                                                                              The station also engages in national debates from a
CONVERSION TABLE                                                                                              mature     informed    perspective.   In    terms   of
                                                                                                              demographics, RADIO 2000 attracts captains of
Duration:       5”     10”   15”    20”      25”    30”     35”   40”    45“      50”     55”     60”
                                                                                                              Industry, opinion leaders and successful entrepreneurs.
Multiply Rate   0.75 0.75    0.75   0.80 0.80       1.00    1.15 1.30   1.50      1.65    1.80 2.00

Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
