"supplier","source_file","current_site_name","current_media_type","current_city","current_suburb","current_province","current_site_code","current_discounted_rate_zar","current_rate_card_zar","flags","corrected_site_name","corrected_media_type","corrected_city","corrected_suburb","corrected_province","corrected_site_code","corrected_discounted_rate_zar","corrected_rate_card_zar","correction_notes","verified_source","verified_by"
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Elevator Panels | indoor","East London","Cambridge Production &","Eastern Cape","","8000","10000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Escalator Wrap | indoor","East London","Cambridge Production &","Eastern Cape","","10000","15000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Exit Wall Banner | indoor","East London","Cambridge Production &","Eastern Cape","","6500","8500","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Glass Wall Wrap | Outdoor","East London","Cambridge Production &","Eastern Cape","","10000","12000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Hanging Banners | indoor","East London","Cambridge Production &","Eastern Cape","","6000","8000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Lift Wrap | indoor","East London","Cambridge Production &","Eastern Cape","","5500","8500","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Parking Wall | Outdoor","East London","Cambridge Production &","Eastern Cape","","12000","15000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Sky Cube | indoor","East London","Cambridge Production &","Eastern Cape","","10000","15000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hemingways Mall,, East London","Static Wall Banners | indoor","East London","Cambridge Production &","Eastern Cape","","6000","8000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hyde Park,, Johannesburg","Digital Screen | Indoor","Johannesburg","Hyde Park Corner, Hyde Park","Gauteng","","10000","15000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Hyde Park,, Johannesburg","Static Tower Wrap | Outdoor","Johannesburg","Hyde Park Corner, Hyde Park","Gauteng","","80000","100000","wide_site_price_range_review;missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Langa Taxi Rank,, Cape Town","Static Billboard | Outdoor","Cape Town","Langa","Western Cape","","28000","35000","missing_site_code","","","","","","","","","","",""
"BlackSpace","BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf","Langa Traffic Circle,, Cape Town","Static Billboard | Outdoor","Cape Town","Langa","Western Cape","","35000","45000","missing_site_code","","","","","","","","","","",""
